type vio_stamp prim_stamp uber_stamp
0 1547563119.989400387 1547563120.070981264 1547563120.070981264
1 1547563134.548996687 1547563134.574240446 1547563134.548996600
0 1547563176.613780022 1547563176.669627428 1547563176.669627428
1 1547563210.444084883 1547563210.422594309 1547563210.444084999
0 1547563251.092189789 1547563251.223063469 1547563251.223063469
1 1547563266.014636993 1547563266.023916245 1547563266.014636899
0 1547563288.479590893 1547563288.571771145 1547563288.571771145
1 1547563295.332133293 1547563295.322654486 1547563295.332133199
0 1547563319.971212149 1547563320.072259188 1547563320.072259188
1 1547563325.868036985 1547563325.869522810 1547563325.868036899
0 1547563381.471315384 1547563381.474367142 1547563381.471315499
1 1547563391.024397135 1547563391.023911476 1547563391.024397199
