#timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1494876479880990199, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -6.720041675989673058e-01, -7.225870629511529364e-01, 0.000000000000000000e+00, 1.621059381554104950e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1494876479960420200, -1.585178362152483858e-04, -1.843443655239144358e-04, -1.555835200476832659e-04, -6.719255084712220105e-01, -7.224438616010611103e-01, -1.726038522651741815e-03, 1.630582677807390357e-01, -1.299918324202834234e-03, -3.813723758828108622e-03, -1.138143440011513650e-03, -4.546045475680290861e-05, -2.554102142327232400e-03, 8.799359445510956338e-04, 7.722857507758959215e-07, 5.679237871014388580e-07, -1.256369226626761729e-06
1494876480039850200, 2.646664567109609776e-05, -2.924915104180128437e-04, -3.144445535078125957e-04, -6.703830911801538228e-01, -7.233786155018834263e-01, -2.665114161090778415e-03, 1.652355496278825608e-01, 3.565232757423887275e-03, -5.562307326859161974e-03, -9.699577228176998155e-04, -7.454922608629320014e-04, -1.992058234614626014e-03, 1.782064002361003190e-03, 5.383729571030562754e-04, -3.915689131334080956e-04, -1.494165085685270934e-03
1494876480121301999, 4.889862343776316253e-04, -1.806467394255803320e-03, -1.186211745822063183e-04, -6.676385741286701148e-01, -7.253062901961724318e-01, -2.215112278084191075e-03, 1.678827359048496726e-01, 3.845000149911119436e-03, -1.756825849664026343e-02, 7.333190513745041147e-04, -6.118855516719966595e-03, 1.469810381328707323e-03, 7.794731570272049256e-03, 5.881071159755584497e-03, -5.342813688902697984e-03, -2.368229393026389379e-02
1494876480200750950, 7.167631286426770585e-04, -3.925697117609277913e-03, 1.537322135799026358e-04, -6.643635796271750715e-01, -7.270594192475537954e-01, -4.017661865047840279e-03, 1.731747479903296139e-01, -1.081141007107517572e-03, -3.701150199982478767e-02, 6.805960562730679550e-03, -5.289123286745223661e-03, 1.697664055206626367e-03, 6.134564926218614295e-03, 5.385718797605939905e-03, -4.478446656979407151e-03, -1.682206422325436407e-02
1494876480280158350, 1.301972294274652154e-03, -7.719533351676049170e-03, 2.472991358593180228e-04, -6.629701385461810315e-01, -7.277723227963626140e-01, -1.945424075499445305e-03, 1.755399011416236832e-01, -2.376816709061710733e-03, -4.193036619220767702e-02, 6.874173261078672485e-03, -5.300120155219888119e-04, 3.297117773614311083e-03, 2.506417695740714973e-03, 7.471927731367405609e-03, -9.146718567026141181e-03, -2.988485171480200278e-02
1494876480359596700, 8.849894995088179684e-04, -1.164720326196877140e-02, 9.802433800945541380e-04, -6.619925196308898974e-01, -7.283293412349770568e-01, -2.085891902912341122e-03, 1.769121920726205166e-01, -7.664205140303440196e-03, -5.346759410534110413e-02, 1.160093234784822895e-02, -5.205703158733276416e-04, 3.306124110942482760e-03, 2.492677623412817029e-03, 7.456998216677430610e-03, -9.048246605075489085e-03, -2.975439577740255151e-02
1494876480439039449, 2.183540898210536204e-04, -1.687420795864741710e-02, 2.149438741699914203e-03, -6.612407939221589537e-01, -7.288678789164024785e-01, -2.084790306722224002e-03, 1.775045948320056466e-01, -8.996582945167610340e-03, -6.744072249669480490e-02, 1.733266544491544880e-02, -4.643151330902378616e-04, 3.345804044225075390e-03, 2.474831705701129730e-03, 7.469905065071827908e-03, -8.897153450470752373e-03, -2.967643089665293610e-02
1494876480518444199, -3.481609100919236168e-04, -2.313296904461693837e-02, 3.356537945369079609e-03, -6.601148661640376947e-01, -7.299423102399831276e-01, -1.746932888650625610e-03, 1.772837708766191178e-01, -6.292063544540603230e-03, -7.525099404402917080e-02, 1.643977409111671215e-02, -2.552770599827949784e-04, 3.358514979949065848e-03, 2.439504454368855799e-03, 7.997292563697811982e-03, -9.925123661346429982e-03, -3.313821340112277358e-02
1494876480597843700, -9.085089861013750717e-04, -3.053386300929987474e-02, 4.700046424545582108e-03, -6.584966793466882073e-01, -7.314286605458825141e-01, -2.706881881228172856e-03, 1.771635137716628672e-01, -5.581617155506022644e-03, -8.302692867621050410e-02, 1.653207784688009649e-02, -2.285239540499540360e-04, 3.319152341247946694e-03, 2.413556357593817266e-03, 7.949539204244904234e-03, -9.475101656143323364e-03, -3.230647529435009407e-02
