# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1494876486.74156 -0.076899 0.060639 0.040822 0.990511 -0.034240 0.126160 0.042426 0.0000139740 0.0000019010 -0.0000011492 0.0000115544 -0.0000017030 0.0000113984 0.0000369946 -0.0000202537 -0.0000176271 0.0000291839 0.0000140013 0.0000366303
1494876486.82091 -0.076585 0.057162 0.052733 0.990289 -0.047208 0.123063 0.044218 0.0000138579 0.0000018796 -0.0000012530 0.0000110047 -0.0000018305 0.0000121625 0.0000205952 -0.0000118940 -0.0000042726 0.0000272858 0.0000057821 0.0000226148
1494876486.90002 -0.073265 0.048159 0.061241 0.991066 -0.053506 0.116113 0.037976 0.0000137128 0.0000018114 -0.0000013410 0.0000108062 -0.0000018167 0.0000125340 0.0000203436 -0.0000111330 -0.0000050236 0.0000258586 0.0000063137 0.0000218721
1494876486.97960 -0.072448 0.042723 0.065853 0.991734 -0.058261 0.109147 0.034015 0.0000134098 0.0000016803 -0.0000013255 0.0000108126 -0.0000016514 0.0000127147 0.0000194532 -0.0000102026 -0.0000052150 0.0000239280 0.0000056457 0.0000213899
1494876487.05903 -0.071245 0.036773 0.068942 0.992206 -0.061639 0.102884 0.033813 0.0000131072 0.0000016207 -0.0000012844 0.0000108767 -0.0000014910 0.0000127361 0.0000190089 -0.0000097838 -0.0000055138 0.0000231079 0.0000051828 0.0000213760
1494876487.13854 -0.070739 0.033246 0.070719 0.992485 -0.064054 0.097484 0.036980 0.0000128157 0.0000016020 -0.0000012129 0.0000108523 -0.0000013165 0.0000126532 0.0000184688 -0.0000092290 -0.0000057503 0.0000222492 0.0000046690 0.0000211709
1494876487.21804 -0.071349 0.031255 0.073024 0.992880 -0.064711 0.091712 0.039887 0.0000125499 0.0000016163 -0.0000011585 0.0000107925 -0.0000011531 0.0000125949 0.0000178862 -0.0000086644 -0.0000059308 0.0000216127 0.0000042679 0.0000210922
1494876487.29740 -0.072879 0.033154 0.078255 0.993484 -0.064147 0.084498 0.041640 0.0000122914 0.0000017156 -0.0000012297 0.0000099486 -0.0000006996 0.0000110320 0.0000160195 -0.0000062859 -0.0000058242 0.0000167511 0.0000026259 0.0000178092
1494876487.37674 -0.076616 0.034248 0.081311 0.994136 -0.061901 0.077821 0.042483 0.0000120919 0.0000017596 -0.0000013448 0.0000099145 -0.0000006192 0.0000111832 0.0000156337 -0.0000060691 -0.0000057792 0.0000168143 0.0000025334 0.0000179662
1494876487.45600 -0.078054 0.039242 0.082369 0.994377 -0.063150 0.073699 0.042369 0.0000114043 0.0000013221 -0.0000009698 0.0000081967 -0.0000000888 0.0000096114 0.0000144824 -0.0000056463 -0.0000050054 0.0000136274 0.0000015511 0.0000147049
