#timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1494876479880990199, 6.774433704877728177e-17, -4.063464241468211342e-17, 1.718542273023801867e-16, -6.720053723861548756e-01, -7.225982449443516531e-01, -4.098420126903534581e-05, 1.620510851792833218e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1494876479960420200, -1.688181279693615297e-04, -3.880942516645926091e-04, -8.618857997404315177e-05, -6.718267931562149631e-01, -7.223458687903926423e-01, 7.994754087696844273e-05, 1.639060689763505996e-01, -9.361316539713767661e-05, -5.834006544770652287e-03, -3.526065427861032730e-04, -8.685017066613901632e-03, -3.096126154908858570e-03, 6.110993148883372104e-03, 1.850004001814191446e-06, 1.303695162917884005e-06, -8.104882623659369692e-07
1494876480039850200, -1.985269592961370634e-05, -5.737191300810794668e-04, -1.465084896728244788e-04, -6.706855704372014504e-01, -7.231969159794331414e-01, 7.807354436408755127e-04, 1.648225614936550398e-01, 5.343557375743012740e-03, -3.730957106424816899e-03, 2.125060687807118673e-04, -8.926329287483186770e-03, -2.858486060497553941e-03, 6.619811756586748731e-03, 1.077917204487173789e-03, -1.327662039070985449e-03, -5.829165132770655448e-03
1494876480121301999, 1.365038889685147878e-03, -9.120202603424606286e-03, -8.518207418436046525e-04, -6.677718405234662757e-01, -7.246496744590243955e-01, 2.237925871649149544e-03, 1.701722950368990128e-01, 1.973073253013142569e-02, -4.420375911322511203e-02, -6.781515197207487432e-03, -6.176168711792258056e-03, -9.386314230047640211e-04, 9.718440281907296183e-03, 1.870002457976818744e-02, -2.033205931887287210e-02, -5.502618313558232943e-02
1494876480200750950, 2.994580170110822288e-03, -1.380462647426047330e-02, -1.190408817390285236e-03, -6.647456697779581258e-01, -7.266564887751963964e-01, 2.154807903378656506e-03, 1.734326919449048210e-01, 2.002049207258778038e-02, -5.341258353648543900e-02, -3.325620913820621222e-03, -5.104603828765894545e-03, -1.156632075287428006e-04, 9.085407075614606795e-03, 1.425078490827092099e-02, -1.268882972772817155e-02, -5.107499003582823688e-02
1494876480280158350, 4.543279009014511254e-03, -1.906460622914594311e-02, -1.436449569866498840e-03, -6.625114840107779735e-01, -7.279245056732139840e-01, 2.110346155488261512e-03, 1.766352004367983120e-01, 1.873358081323433719e-02, -6.181883320905773305e-02, -3.519824384682054830e-03, -4.281822228912656424e-03, 6.724320255312556463e-04, 8.142896563128953352e-03, 1.818344153441449687e-02, -1.466184153258135760e-02, -5.844935240686267852e-02
1494876480359596700, 5.269440351510035724e-03, -2.379258799614872646e-02, -1.324705208564231447e-03, -6.614758225638067701e-01, -7.287066726099910019e-01, 2.024547611911282300e-03, 1.772913496597555982e-01, 1.505322974783050889e-02, -6.372820236587008191e-02, -1.928954215250209886e-03, -3.503261587866187722e-03, 1.380231228544639803e-03, 7.505336237210094921e-03, 1.361397352286268514e-02, -1.717860080944697693e-02, -6.553167791004704812e-02
1494876480439039449, 6.195283283822849117e-03, -2.867592699364284251e-02, -1.163822265500856013e-03, -6.603645500419689229e-01, -7.296653707836526781e-01, 2.025015212751772598e-03, 1.774908646674831503e-01, 1.601481869988933757e-02, -6.785334244419839733e-02, 1.687049158918727063e-03, -3.218362874990321303e-03, 1.485916175439226834e-03, 7.584085137142874272e-03, 1.166339209981863759e-02, -1.700827783161905707e-02, -6.614831489152483979e-02
1494876480518444199, 6.797812288503973614e-03, -3.357859513442144200e-02, -4.692241935406827398e-04, -6.588525661681542411e-01, -7.311387803054966161e-01, 1.760336329875499678e-03, 1.770488102276728537e-01, 1.839970604008735883e-02, -6.904754529897468018e-02, 1.949082398107048180e-03, -2.637079381489677594e-03, 1.772671471630006719e-03, 7.695945774143732668e-03, 9.657072908904490785e-03, -1.555401426155237320e-02, -6.344232506920650938e-02
1494876480597843700, 7.518732497484636144e-03, -3.884762819333674455e-02, 1.730083501886037222e-04, -6.570211686581708399e-01, -7.328569039579896360e-01, 4.525661410565673089e-04, 1.767589812146743433e-01, 2.015899061660053615e-02, -6.966880208767155247e-02, 1.408689318213875684e-03, -2.194247797158049938e-03, 2.005104212011128879e-03, 7.321125089786243052e-03, 1.024365325652831435e-02, -1.483888010583246306e-02, -6.097541098266942572e-02
1494876480677267699, 8.888022890164220743e-03, -4.431924700702184056e-02, 7.329256715603651995e-04, -6.553228941308962829e-01, -7.345619873540184530e-01, -7.964156393947565121e-04, 1.759828312209754664e-01, 2.212048614681609918e-02, -7.072809474299388000e-02, 5.464353001948256579e-03, -2.043084890936562505e-03, 2.184143379082713072e-03, 7.198047819213924080e-03, 1.054551859403775153e-02, -1.469047289920278818e-02, -6.009977156753895655e-02
1494876480756688049, 1.026922818348423999e-02, -4.973243465346086772e-02, 1.647727827010701980e-03, -6.541488364334319128e-01, -7.359080603384239305e-01, -1.482083364751777751e-03, 1.747181443085569219e-01, 2.137930724068840688e-02, -6.886485487782000037e-02, 7.296160987074236035e-03, -1.868087718170021762e-03, 2.375930626982009335e-03, 7.077438936830886436e-03, 1.097124425973837122e-02, -1.469218611146674153e-02, -5.981170851759003843e-02
