# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1494876487.53522 -0.019256 0.005799 0.035705 0.693849 -0.714641 0.036949 0.080610 0.0000329136 -0.0000051100 -0.0000028333 0.0000112223 0.0000004514 0.0000094454 0.0000229505 -0.0000158795 -0.0000023021 0.0000554310 0.0000139579 0.0000215544
1494876487.61461 -0.020925 0.007104 0.039671 0.693226 -0.715374 0.039860 0.078037 0.0000346958 -0.0000047658 -0.0000032048 0.0000126475 0.0000004768 0.0000108915 0.0000267953 -0.0000200612 -0.0000025733 0.0000657420 0.0000160044 0.0000250131
1494876487.69435 -0.023185 0.007726 0.043035 0.693683 -0.715209 0.039444 0.075661 0.0000363043 -0.0000044778 -0.0000035852 0.0000139838 0.0000005281 0.0000122510 0.0000340847 -0.0000247616 -0.0000030861 0.0000819137 0.0000185713 0.0000315321
1494876487.77579 -0.026562 0.008318 0.046615 0.694498 -0.714665 0.035001 0.075512 0.0000381417 -0.0000040947 -0.0000040944 0.0000154876 0.0000005882 0.0000138118 0.0000462865 -0.0000312111 -0.0000039682 0.0001109635 0.0000219610 0.0000419294
1494876487.85516 -0.030670 0.009178 0.050536 0.695470 -0.713845 0.030048 0.076440 0.0000400800 -0.0000036659 -0.0000046007 0.0000170631 0.0000006412 0.0000154502 0.0000645764 -0.0000394474 -0.0000053086 0.0001559678 0.0000261915 0.0000568786
1494876487.93581 -0.030754 0.012033 0.051370 0.696306 -0.713122 0.027750 0.076444 0.0000410786 -0.0000032400 -0.0000053149 0.0000169573 0.0000007546 0.0000166218 0.0000575532 -0.0000320782 -0.0000044274 0.0001787703 0.0000362016 0.0000543062
1494876488.01523 -0.034017 0.012930 0.056221 0.695503 -0.713807 0.029851 0.076579 0.0000432815 -0.0000029606 -0.0000056411 0.0000186609 0.0000008072 0.0000183535 0.0000744094 -0.0000360659 -0.0000048244 0.0002472183 0.0000451335 0.0000693790
1494876488.09498 -0.037436 0.012344 0.062367 0.693234 -0.715658 0.033867 0.078186 0.0000453004 -0.0000028079 -0.0000057989 0.0000204072 0.0000009047 0.0000200905 0.0000917795 -0.0000390595 -0.0000052668 0.0003364330 0.0000577558 0.0000858441
1494876488.17436 -0.041854 0.012457 0.067546 0.691162 -0.717251 0.036577 0.080674 0.0000477768 -0.0000025666 -0.0000060682 0.0000223164 0.0000009823 0.0000219796 0.0001193639 -0.0000429931 -0.0000054154 0.0004578202 0.0000720232 0.0001092889
1494876488.25375 -0.046994 0.012821 0.072611 0.689678 -0.718236 0.038378 0.083723 0.0000504045 -0.0000022500 -0.0000063631 0.0000243098 0.0000010581 0.0000239717 0.0001555548 -0.0000472645 -0.0000054102 0.0006150098 0.0000894047 0.0001387468
