# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1532199352.04841 0.115057 0.044964 -0.017888 0.789991 -0.150329 -0.186057 0.564533 0.0000334345 0.0000085391 -0.0000009690 0.0000509802 0.0000157487 0.0000669308 0.0004538265 0.0002979790 0.0000342603 0.0004189290 0.0000581306 0.0001120112
1532199352.09848 0.145495 0.034446 -0.024461 0.792352 -0.147020 -0.180516 0.563894 0.0000324603 0.0000093544 -0.0000013436 0.0000509858 0.0000156326 0.0000659243 0.0002100712 0.0000120935 -0.0000120072 0.0000994457 0.0000086511 0.0001025828
1532199352.14717 0.156021 0.024757 -0.022359 0.794882 -0.143981 -0.177125 0.562191 0.0000316789 0.0000089057 -0.0000008654 0.0000492159 0.0000163434 0.0000654263 0.0002126524 0.0000062424 -0.0000099903 0.0000932195 0.0000097382 0.0000959981
1532199352.19842 0.154953 0.019457 -0.028614 0.796162 -0.143938 -0.173996 0.561368 0.0000303220 0.0000091760 -0.0000020176 0.0000439922 0.0000173500 0.0000619000 0.0001535048 -0.0000131894 -0.0000341673 0.0000858439 0.0000028498 0.0000823332
1532199352.25027 0.170665 0.020774 -0.032135 0.797198 -0.143540 -0.173844 0.560044 0.0000300306 0.0000092457 -0.0000018891 0.0000424090 0.0000176083 0.0000615273 0.0001627026 -0.0000130190 -0.0000365853 0.0000832055 0.0000041681 0.0000821621
1532199352.30112 0.160507 0.011843 -0.018603 0.799766 -0.144176 -0.171664 0.556883 0.0000288149 0.0000086888 -0.0000023498 0.0000413452 0.0000175354 0.0000609376 0.0001561705 -0.0000164024 -0.0000276500 0.0000785703 0.0000091825 0.0000762769
1532199352.34900 0.177463 0.012226 -0.020754 0.801016 -0.144123 -0.171756 0.555069 0.0000287046 0.0000084552 -0.0000023854 0.0000412115 0.0000178153 0.0000604779 0.0001691282 -0.0000187657 -0.0000277107 0.0000779558 0.0000084933 0.0000780675
1532199352.39926 0.192893 0.011355 -0.022583 0.802408 -0.144047 -0.171532 0.553144 0.0000285510 0.0000083533 -0.0000023604 0.0000416838 0.0000180094 0.0000601639 0.0001851352 -0.0000209400 -0.0000284101 0.0000796129 0.0000083680 0.0000815747
1532199352.44786 0.209229 0.009523 -0.025236 0.803854 -0.143775 -0.171116 0.551241 0.0000284343 0.0000082301 -0.0000023283 0.0000421443 0.0000182446 0.0000598373 0.0002035613 -0.0000228854 -0.0000292649 0.0000815386 0.0000083325 0.0000852796
1532199352.49872 0.226793 0.006641 -0.028789 0.805655 -0.143548 -0.170112 0.548978 0.0000283300 0.0000080934 -0.0000023224 0.0000425941 0.0000184788 0.0000594443 0.0002253701 -0.0000248206 -0.0000303146 0.0000842612 0.0000084348 0.0000899004
1532199352.54801 0.224636 -0.001100 -0.033439 0.807988 -0.143131 -0.169138 0.545950 0.0000281001 0.0000080067 -0.0000022839 0.0000425699 0.0000186481 0.0000589638 0.0002368194 -0.0000298561 -0.0000312293 0.0000837979 0.0000102075 0.0000933452
1532199352.59891 0.239959 -0.005689 -0.039418 0.810088 -0.142824 -0.167577 0.543393 0.0000279923 0.0000079370 -0.0000023468 0.0000431798 0.0000187503 0.0000583140 0.0002571731 -0.0000317650 -0.0000315384 0.0000854369 0.0000105884 0.0000968610
1532199352.64775 0.254642 -0.010670 -0.045122 0.812211 -0.142456 -0.166050 0.540784 0.0000279073 0.0000078895 -0.0000023891 0.0000436997 0.0000187741 0.0000576886 0.0002798510 -0.0000343551 -0.0000326272 0.0000877969 0.0000113788 0.0001014235
1532199352.69659 0.269934 -0.016251 -0.051412 0.814322 -0.141957 -0.164695 0.538148 0.0000278138 0.0000078411 -0.0000024342 0.0000442184 0.0000187550 0.0000570494 0.0003050799 -0.0000371217 -0.0000339025 0.0000904750 0.0000124191 0.0001064828
