# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1532199358.87077 -0.000443 0.005315 -0.002739 0.672308 -0.040718 -0.097145 0.732739 0.0000256803 -0.0000076208 0.0000003033 0.0001156338 -0.0000122107 0.0000240402 0.0000112477 -0.0000009846 -0.0000005447 0.0000144198 0.0000087766 0.0000283213
1532199358.92170 -0.001059 0.011232 -0.005990 0.671630 -0.040683 -0.096466 0.733452 0.0000260759 -0.0000075578 0.0000002893 0.0001167096 -0.0000121868 0.0000244273 0.0000169237 -0.0000020779 -0.0000005255 0.0000202451 0.0000108428 0.0000523995
1532199358.97061 -0.001826 0.017320 -0.009501 0.671273 -0.040700 -0.095956 0.733845 0.0000265575 -0.0000075272 0.0000002885 0.0001179179 -0.0000122664 0.0000249263 0.0000267491 -0.0000039190 -0.0000005371 0.0000303559 0.0000140926 0.0000900320
1532199359.01953 -0.002764 0.023841 -0.013392 0.671178 -0.040736 -0.095588 0.733978 0.0000271394 -0.0000075291 0.0000002997 0.0001192998 -0.0000124410 0.0000255486 0.0000411147 -0.0000065466 -0.0000005781 0.0000451435 0.0000185913 0.0001419371
1532199359.06983 -0.005652 0.031539 -0.010635 0.671282 -0.041102 -0.095545 0.733868 0.0000277388 -0.0000072856 0.0000002492 0.0001189107 -0.0000120687 0.0000261064 0.0000491503 -0.0000098968 -0.0000004525 0.0000655873 0.0000195081 0.0001175213
1532199359.12329 -0.007034 0.014708 -0.008181 0.673928 -0.040751 -0.095769 0.731429 0.0000251712 -0.0000054720 -0.0000013451 0.0001120932 -0.0000065907 0.0000214997 0.0000276565 -0.0000069248 -0.0000000785 0.0000352809 0.0000044464 0.0000359378
1532199359.17425 -0.008997 0.018502 -0.011320 0.674629 -0.040505 -0.095843 0.730787 0.0000260654 -0.0000056137 -0.0000013290 0.0001131441 -0.0000072087 0.0000222256 0.0000337860 -0.0000098001 0.0000002704 0.0000450408 0.0000020982 0.0000415524
1532199359.22309 -0.010811 0.022122 -0.014444 0.675572 -0.040267 -0.095906 0.729920 0.0000269214 -0.0000056543 -0.0000013385 0.0001142849 -0.0000073372 0.0000228702 0.0000413438 -0.0000127250 0.0000005109 0.0000544397 0.0000000531 0.0000474728
1532199359.27291 -0.011984 0.022231 -0.016527 0.677217 -0.039206 -0.095910 0.728452 0.0000274311 -0.0000064595 -0.0000006558 0.0001142043 -0.0000063649 0.0000224948 0.0000500449 -0.0000135230 0.0000000155 0.0000512491 0.0000025267 0.0000523529
1532199359.32386 -0.013865 0.026679 -0.020650 0.679025 -0.039012 -0.095847 0.726785 0.0000285678 -0.0000066034 -0.0000006340 0.0001155886 -0.0000067480 0.0000233146 0.0000619216 -0.0000167052 0.0000000625 0.0000631185 0.0000000073 0.0000602023
1532199359.37279 -0.015683 0.031416 -0.024979 0.681139 -0.038916 -0.095663 0.724833 0.0000297119 -0.0000066309 -0.0000006249 0.0001170451 -0.0000071500 0.0000241670 0.0000760310 -0.0000200716 0.0000000622 0.0000772536 -0.0000029876 0.0000687374
1532199359.42378 -0.017612 0.036935 -0.029926 0.683736 -0.038908 -0.095288 0.722434 0.0000309933 -0.0000066346 -0.0000006094 0.0001186921 -0.0000076819 0.0000251461 0.0000942580 -0.0000239713 0.0000000041 0.0000957948 -0.0000068331 0.0000788202
1532199359.46612 -0.008940 0.026222 -0.025560 0.687185 -0.040575 -0.095492 0.719036 0.0000243378 -0.0000038741 -0.0000026219 0.0001140836 -0.0000002530 0.0000125627 0.0000570720 -0.0000094315 -0.0000038682 0.0000618266 0.0000086226 0.0000711207
1532199359.51500 -0.009974 0.030425 -0.029308 0.689642 -0.040801 -0.095175 0.716708 0.0000253650 -0.0000037123 -0.0000026544 0.0001156563 -0.0000010915 0.0000132223 0.0000626370 -0.0000105340 -0.0000045948 0.0000731481 0.0000080288 0.0000777438
1532199359.57121 -0.004851 0.010639 -0.023578 0.697754 -0.038736 -0.095544 0.708880 0.0000140064 -0.0000087075 -0.0000017596 0.0001075686 -0.0000004713 0.0000073778 0.0000308436 -0.0000105475 -0.0000021307 0.0000387071 0.0000127200 0.0000460161
1532199359.62013 -0.005309 0.012463 -0.028081 0.700863 -0.038382 -0.095639 0.705812 0.0000149519 -0.0000094967 -0.0000016471 0.0001085134 -0.0000026956 0.0000079279 0.0000317905 -0.0000118601 -0.0000023895 0.0000443817 0.0000131758 0.0000491933
1532199359.67480 -0.005928 0.015174 -0.031341 0.704058 -0.037704 -0.095754 0.702647 0.0000135228 -0.0000108298 -0.0000011641 0.0001085103 -0.0000025625 0.0000073560 0.0000337454 -0.0000145074 -0.0000031339 0.0000431198 0.0000114580 0.0000515226
1532199359.73729 0.000684 0.011699 -0.031748 0.708578 -0.037897 -0.098491 0.697696 0.0000079323 -0.0000077789 -0.0000014803 0.0001034453 -0.0000019329 0.0000045168 0.0000292017 -0.0000089448 -0.0000028627 0.0000265836 0.0000071644 0.0000463531
1532199359.78823 0.000653 0.013331 -0.037874 0.712576 -0.037649 -0.099000 0.693554 0.0000087625 -0.0000083073 -0.0000014755 0.0001041849 -0.0000033532 0.0000049697 0.0000319410 -0.0000106095 -0.0000032557 0.0000284249 0.0000057131 0.0000496385
1532199359.83697 0.000771 0.014936 -0.042222 0.715947 -0.037838 -0.099210 0.690033 0.0000089178 -0.0000089249 -0.0000012744 0.0001041825 -0.0000039085 0.0000049582 0.0000342833 -0.0000121371 -0.0000035296 0.0000302551 0.0000044634 0.0000519873
