#timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1535224862156861549, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.853907877918912428e-02, -9.974218723034055101e-01, 0.000000000000000000e+00, 4.150644415573407492e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1535224862222423000, 5.270837695881385858e-05, -2.802147461714646202e-05, 2.900234863530275716e-05, -5.856083749604305833e-02, -9.974185424116787102e-01, 3.486480910647378494e-04, 4.155427787404170764e-02, 7.595901778754823386e-04, 6.303471446767658349e-05, 1.673215269746178985e-03, 6.217060396942163114e-04, 8.633824248061819796e-05, -1.042755989572516893e-04, 2.444348113139072412e-07, 1.734323271106335698e-08, -5.111698510845256224e-08
1535224862288765899, 5.477995602305347242e-05, 7.207184369793964544e-05, 2.527581585094346986e-04, -5.848104833675575598e-02, -9.974293833907087459e-01, -3.189306145677088002e-05, 4.140762148563390671e-02, -9.300256765674424380e-05, 1.713128935767776811e-03, 4.444238642584395077e-03, 6.611077689076912860e-04, 7.858008412150922046e-05, -1.007084287336880495e-04, 1.021831424799544061e-07, -5.236684633354972829e-08, 1.663616168126404990e-07
1535224862354327350, 1.572387924540085075e-03, -3.764855958143734495e-04, 4.712046695023914839e-04, -5.854740055153754424e-02, -9.974100745810861035e-01, 1.162966050834629073e-04, 4.177716467054590904e-02, 7.888974829606652459e-03, -1.674866769245268944e-03, 5.896459705189564457e-03, 5.970747481262495991e-04, -1.324030416938990786e-04, -1.901460181164446562e-04, 9.737097046219093539e-06, 2.424132433195282202e-07, 3.935693845267585203e-06
1535224862420670349, 2.117563244470732110e-03, -1.249909939278308129e-03, 1.639662115415410366e-03, -5.849828008936364121e-02, -9.972555478421314401e-01, -8.163340192638507626e-04, 4.537242690716089544e-02, 1.720818824010608358e-02, -7.050341099407951388e-03, 1.114139019899860680e-02, 1.198807738499040433e-03, -1.796140867469621849e-04, -1.141418260496229812e-04, 9.670194957040202294e-06, 9.190521587864630725e-05, -2.117391791484488764e-05
1535224862485973950, -7.067905002617541795e-03, 1.204166954798661145e-03, 6.876923795521450861e-04, -5.846402322276821745e-02, -9.970550445298761444e-01, -1.319759450040560366e-03, 4.961304668258442740e-02, 3.695124413838263722e-03, -1.296336467718955075e-03, 7.470491970991113145e-03, 1.823619517142873294e-03, -1.310851375011880574e-04, -7.638099267481237287e-06, 7.845006649746157773e-04, -2.649246361899015162e-03, -4.079645430775939025e-03
1535224862552574700, -2.740286054917317419e-03, 2.113751821216105727e-04, -1.087666170631516665e-03, -5.854901775934318736e-02, -9.973565635644996430e-01, 1.884826073895823036e-04, 4.303326746292131938e-02, -2.270826111895076199e-03, 2.050507887051614044e-03, -1.045478266326461828e-03, 1.294219904469814681e-03, -2.513545898480953542e-04, -7.303289359484872560e-05, 2.118813407119732230e-03, -2.109041689644838933e-03, -2.906427625740081941e-02
1535224862617877899, -5.292695395445011627e-04, -6.712099357878266535e-05, 2.964377650905817513e-05, -5.854684399028157321e-02, -9.973903385249838216e-01, -1.579480185258689217e-04, 4.224635757339891690e-02, 8.904936884785040387e-04, -4.300644250115236633e-04, 5.223684805879489365e-04, 6.828884254890471919e-04, -1.295304224230289173e-04, -2.197515834788664230e-04, 3.039506178802091167e-03, -9.498195646437520775e-05, -3.473101582194279557e-02
1535224862684478650, 1.229691377689727787e-03, -3.540576964015504824e-04, 2.164582529921505241e-04, -5.854108060361344623e-02, -9.973888247045346045e-01, -2.408546134217322548e-04, 4.228967043290508127e-02, 5.125933037540722319e-03, -1.327347401761257281e-03, 1.988764587868543845e-03, 5.305267155344121259e-04, -3.370316788726477730e-04, -2.077655184662980791e-04, 2.816827213515842206e-03, -1.142721452388452354e-04, -3.123852727834559168e-02
1535224862749782350, 1.369750315494795093e-03, 4.171299062330565842e-05, 1.770053702227477666e-04, -5.852346900748998243e-02, -9.973653964608485412e-01, -6.127598184812258755e-04, 4.285900189258486787e-02, 8.486881595296973113e-03, -2.734356639226370907e-03, 1.223655435446957063e-03, 7.943490017069441229e-04, -2.940044852171712917e-04, -1.550510548482351286e-04, 3.008778903381120924e-03, -1.041858435197286410e-04, -3.430749020292356288e-02
