# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1535224867.42708 -0.000931 -0.000140 -0.001452 0.706531 -0.706445 0.031233 0.027814 0.0000068821 -0.0000001588 -0.0000328821 0.0000041421 0.0000018988 0.0003974192 0.0026728025 -0.0000000001 0.0000000011 0.0026728029 -0.0000000001 0.0026685830
1535224867.49368 -0.001022 -0.000036 -0.001553 0.706538 -0.706438 0.031240 0.027814 0.0000068816 -0.0000001588 -0.0000328819 0.0000041416 0.0000018988 0.0003974160 0.0026727233 -0.0000000001 0.0000000011 0.0026727237 -0.0000000001 0.0026685569
1535224867.55898 -0.001010 -0.000040 -0.001546 0.706540 -0.706436 0.031239 0.027816 0.0000068812 -0.0000001588 -0.0000328817 0.0000041411 0.0000018988 0.0003974131 0.0026726485 -0.0000000001 0.0000000011 0.0026726488 -0.0000000001 0.0026685324
1535224867.65811 -0.000958 -0.000048 -0.001507 0.706540 -0.706436 0.031234 0.027815 0.0000068805 -0.0000001588 -0.0000328813 0.0000041405 0.0000018988 0.0003974088 0.0026725399 -0.0000000001 0.0000000010 0.0026725403 -0.0000000001 0.0026684972
1535224867.72367 -0.000919 -0.000056 -0.001419 0.706539 -0.706437 0.031228 0.027815 0.0000068801 -0.0000001588 -0.0000328812 0.0000041401 0.0000018987 0.0003974061 0.0026724712 -0.0000000001 0.0000000010 0.0026724716 -0.0000000001 0.0026684751
1535224867.79001 -0.000901 -0.000055 -0.001399 0.706539 -0.706438 0.031221 0.027820 0.0000068797 -0.0000001588 -0.0000328810 0.0000041397 0.0000018987 0.0003974035 0.0026724041 -0.0000000001 0.0000000010 0.0026724045 -0.0000000001 0.0026684536
1535224867.85531 -0.000910 -0.000084 -0.001353 0.706541 -0.706435 0.031220 0.027818 0.0000068793 -0.0000001588 -0.0000328808 0.0000041394 0.0000018987 0.0003974011 0.0026723402 -0.0000000001 0.0000000010 0.0026723406 -0.0000000001 0.0026684332
1535224867.92191 -0.000965 -0.000082 -0.001418 0.706542 -0.706435 0.031227 0.027816 0.0000068790 -0.0000001588 -0.0000328806 0.0000041390 0.0000018987 0.0003973987 0.0026722773 -0.0000000001 0.0000000010 0.0026722776 -0.0000000001 0.0026684132
1535224867.98722 -0.000879 -0.000094 -0.001466 0.706544 -0.706433 0.031222 0.027816 0.0000068786 -0.0000001588 -0.0000328805 0.0000041387 0.0000018987 0.0003973964 0.0026722175 -0.0000000001 0.0000000010 0.0026722179 -0.0000000001 0.0026683944
1535224868.05278 -0.000883 -0.000153 -0.001399 0.706545 -0.706432 0.031216 0.027813 0.0000068783 -0.0000001588 -0.0000328803 0.0000041384 0.0000018987 0.0003973942 0.0026721594 -0.0000000001 0.0000000009 0.0026721598 -0.0000000001 0.0026683761
1535224868.11912 -0.000892 -0.000185 -0.001361 0.706544 -0.706433 0.031214 0.027810 0.0000068780 -0.0000001588 -0.0000328801 0.0000041381 0.0000018987 0.0003973920 0.0026721025 -0.0000000001 0.0000000009 0.0026721029 -0.0000000001 0.0026683583
1535224868.18468 -0.000920 -0.000131 -0.001419 0.706542 -0.706435 0.031219 0.027810 0.0000068777 -0.0000001588 -0.0000328800 0.0000041378 0.0000018987 0.0003973900 0.0026720480 -0.0000000001 0.0000000009 0.0026720484 -0.0000000001 0.0026683414
1535224868.25103 -0.000889 -0.000127 -0.001408 0.706543 -0.706434 0.031217 0.027812 0.0000068774 -0.0000001587 -0.0000328799 0.0000041375 0.0000018987 0.0003973880 0.0026719946 -0.0000000001 0.0000000009 0.0026719949 -0.0000000001 0.0026683248
1535224868.31633 -0.000937 -0.000163 -0.001422 0.706544 -0.706433 0.031220 0.027804 0.0000068771 -0.0000001587 -0.0000328797 0.0000041373 0.0000018987 0.0003973861 0.0026719435 -0.0000000001 0.0000000009 0.0026719439 -0.0000000001 0.0026683090
1535224868.38293 -0.000909 -0.000102 -0.001390 0.706543 -0.706434 0.031218 0.027806 0.0000068768 -0.0000001587 -0.0000328796 0.0000041370 0.0000018987 0.0003973842 0.0026718930 -0.0000000001 0.0000000009 0.0026718933 -0.0000000001 0.0026682935
1535224868.44824 -0.000887 -0.000094 -0.001392 0.706542 -0.706435 0.031219 0.027808 0.0000068766 -0.0000001587 -0.0000328795 0.0000041367 0.0000018986 0.0003973824 0.0026718449 -0.0000000001 0.0000000009 0.0026718452 -0.0000000001 0.0026682788
1535224868.51484 -0.000877 -0.000032 -0.001415 0.706544 -0.706433 0.031222 0.027812 0.0000068763 -0.0000001587 -0.0000328793 0.0000041365 0.0000018986 0.0003973807 0.0026717972 -0.0000000001 0.0000000009 0.0026717976 -0.0000000001 0.0026682642
1535224868.58014 -0.000859 -0.000037 -0.001318 0.706542 -0.706435 0.031220 0.027810 0.0000068761 -0.0000001587 -0.0000328792 0.0000041363 0.0000018986 0.0003973790 0.0026717518 -0.0000000001 0.0000000009 0.0026717522 -0.0000000001 0.0026682504
1535224868.64648 -0.000759 0.000017 -0.001315 0.706542 -0.706435 0.031217 0.027817 0.0000068758 -0.0000001587 -0.0000328791 0.0000041360 0.0000018986 0.0003973774 0.0026717070 -0.0000000001 0.0000000008 0.0026717074 -0.0000000001 0.0026682369
1535224868.71204 -0.000747 0.000072 -0.001315 0.706544 -0.706433 0.031217 0.027819 0.0000068756 -0.0000001587 -0.0000328790 0.0000041358 0.0000018986 0.0003973758 0.0026716639 -0.0000000001 0.0000000008 0.0026716643 -0.0000000001 0.0026682239
1535224868.77735 -0.000710 0.000110 -0.001366 0.706543 -0.706434 0.031214 0.027821 0.0000068754 -0.0000001587 -0.0000328789 0.0000041356 0.0000018986 0.0003973743 0.0026716222 -0.0000000001 0.0000000008 0.0026716225 -0.0000000001 0.0026682113
1535224868.84395 -0.000735 0.000171 -0.001353 0.706544 -0.706433 0.031216 0.027823 0.0000068752 -0.0000001587 -0.0000328788 0.0000041354 0.0000018986 0.0003973728 0.0026715807 -0.0000000001 0.0000000008 0.0026715811 -0.0000000001 0.0026681989
1535224868.90925 -0.000713 0.000162 -0.001320 0.706543 -0.706434 0.031214 0.027824 0.0000068750 -0.0000001587 -0.0000328787 0.0000041352 0.0000018986 0.0003973714 0.0026715412 -0.0000000001 0.0000000008 0.0026715415 -0.0000000001 0.0026681871
1535224868.97560 -0.000692 0.000182 -0.001373 0.706544 -0.706432 0.031214 0.027824 0.0000068748 -0.0000001587 -0.0000328786 0.0000041350 0.0000018986 0.0003973700 0.0026715020 -0.0000000001 0.0000000008 0.0026715024 -0.0000000001 0.0026681754
