# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1535224865.15503 0.001385 -0.000026 -0.000248 0.706621 -0.706363 0.031057 0.027800 0.0008483251 0.0000000000 0.0000000000 0.0008483251 0.0000000000 0.0008483251 0.0162829273 0.0000000000 -0.0000034221 0.0162829281 0.0000000531 0.0027378838
1535224865.22033 0.004885 0.005032 0.000692 0.706533 -0.706430 0.031133 0.028243 0.0000085124 -0.0000001538 -0.0000334064 0.0000057329 0.0000018424 0.0004060129 0.0027781905 0.0000000000 -0.0000000440 0.0027781913 0.0000000043 0.0026479582
1535224865.28564 0.002486 0.001636 -0.001158 0.706607 -0.706371 0.031114 0.027905 0.0000074007 -0.0000001519 -0.0000330110 0.0000046541 0.0000018206 0.0004001964 0.0026686737 0.0000000000 -0.0000000152 0.0026686745 0.0000000017 0.0026268013
1535224865.35224 0.002977 0.001476 -0.001014 0.706553 -0.706423 0.031121 0.027933 0.0000071781 -0.0000001516 -0.0000329306 0.0000044382 0.0000018161 0.0003990169 0.0026461254 0.0000000000 -0.0000000091 0.0026461261 0.0000000010 0.0026213278
1535224865.41754 0.001616 0.001562 -0.000651 0.706555 -0.706420 0.031193 0.027906 0.0000070853 -0.0000001514 -0.0000328970 0.0000043482 0.0000018143 0.0003985237 0.0026366640 0.0000000000 -0.0000000066 0.0026366647 0.0000000008 0.0026188856
1535224865.48414 0.001492 0.001721 -0.000904 0.706561 -0.706412 0.031216 0.027915 0.0000070328 -0.0000001513 -0.0000328779 0.0000042973 0.0000018132 0.0003982445 0.0026312975 0.0000000000 -0.0000000051 0.0026312983 0.0000000006 0.0026174594
1535224865.54945 0.002024 0.001572 -0.000670 0.706539 -0.706435 0.031178 0.027925 0.0000070002 -0.0000001513 -0.0000328660 0.0000042657 0.0000018126 0.0003980705 0.0026279503 0.0000000000 -0.0000000042 0.0026279511 0.0000000005 0.0026165542
1535224865.61579 0.001650 0.000951 -0.000907 0.706543 -0.706435 0.031147 0.027865 0.0000069772 -0.0000001512 -0.0000328577 0.0000042434 0.0000018121 0.0003979481 0.0026255938 0.0000000000 -0.0000000036 0.0026255946 0.0000000004 0.0026159096
1535224865.68135 0.001650 0.001287 -0.000363 0.706550 -0.706428 0.031148 0.027866 0.0000069606 -0.0000001512 -0.0000328516 0.0000042272 0.0000018118 0.0003978595 0.0026238864 0.0000000000 -0.0000000031 0.0026238871 0.0000000004 0.0026154387
1535224865.74769 0.001762 0.001372 -0.000480 0.706543 -0.706435 0.031160 0.027872 0.0000069477 -0.0000001512 -0.0000328469 0.0000042148 0.0000018115 0.0003977909 0.0026225650 0.0000000000 -0.0000000028 0.0026225658 0.0000000003 0.0026150720
