#timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1578862329382599549, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.844326532865320223e-01, 9.783569613085313366e-01, 0.000000000000000000e+00, 9.382032115073397904e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1578862329449798249, 1.066661216981021690e-04, -6.515936239888668775e-05, 1.934259000612686789e-04, -1.841591827018388972e-01, 9.784406376736312083e-01, 1.647616352709115137e-03, 9.346977765974970320e-02, 2.816610598402037764e-03, -3.216165202887547904e-03, 1.129965485492205384e-03, -1.080062414406079263e-04, -1.525611880369855643e-04, 9.782465271527412704e-05, 6.943814854507579416e-07, 1.117143083790598712e-06, 5.061908914063996429e-07
1578862329515130399, 2.716156512517589085e-04, -6.170906088139653219e-04, 3.913574099011615163e-04, -1.836118360477993761e-01, 9.785690149153564166e-01, 3.779786545401435643e-03, 9.314016278929501680e-02, 2.572385217701078901e-03, -5.251179406281057324e-03, -8.569055255617544177e-04, -1.080061715364427334e-04, -1.525611783339140474e-04, 9.782464410517036752e-05, 6.932430496091258256e-07, 1.120536679231898639e-06, 5.093849917519210192e-07
1578862329548729599, 6.363817691688034017e-04, -1.007531123978694376e-03, -8.494200352681599564e-04, -1.830184844759270568e-01, 9.787425495637084305e-01, 8.233412176271295369e-04, 9.255581085434910760e-02, 2.463822774875129833e-03, -7.705754605130662148e-03, -2.139782079984497987e-03, -1.080061715364427334e-04, -1.525611783339140474e-04, 9.782464410517036752e-05, 6.932430496091258256e-07, 1.120536679231898639e-06, 5.093849917519210192e-07
1578862329614061849, 5.809328208019604034e-04, -7.962909289052355621e-04, -1.275879558484467602e-03, -1.833420021775057918e-01, 9.787859133361909159e-01, 3.003120640889395555e-03, 9.140474472694853914e-02, 2.071918785604039137e-03, -9.249217325246923693e-03, -4.902322534166487708e-03, -1.080061715364427334e-04, -1.525611783339140474e-04, 9.782464410517036752e-05, 6.932430496091258256e-07, 1.120536679231898639e-06, 5.093849917519210192e-07
1578862329679394100, 1.585333894462803705e-03, -2.414427610609032326e-03, -2.607570646488033272e-03, -1.812618850754713906e-01, 9.792769817094821860e-01, 1.175788093031705263e-03, 9.032906307060697970e-02, 2.665973734565765720e-03, -1.333536337190650671e-02, -6.822443463661630875e-03, -1.080061715364427334e-04, -1.525611783339140474e-04, 9.782464410517036752e-05, 6.932430496091258256e-07, 1.120536679231898639e-06, 5.093849917519210192e-07
1578862329712993149, 1.817679566234631228e-03, -2.599618507995643535e-03, -3.732092332716069327e-03, -1.810160109483813506e-01, 9.794377110210824577e-01, 9.191514571709224254e-04, 8.907372884704604921e-02, 2.797368868430479168e-03, -1.419054519799172083e-02, -7.701441443341834441e-03, -1.080061715364427334e-04, -1.525611783339140474e-04, 9.782464410517036752e-05, 6.932430496091258256e-07, 1.120536679231898639e-06, 5.093849917519210192e-07
1578862329778325549, 2.426787262025509925e-03, -3.292006749471169252e-03, -3.953276570748467077e-03, -1.799605456850515151e-01, 9.796887196642551920e-01, 1.282537382451769950e-03, 8.844529188833930022e-02, 7.425862631868039750e-03, -1.533340202403855879e-02, -1.241491179620164871e-02, -1.204265098221238587e-03, -2.207646291191161635e-03, -8.280070507237589764e-05, -6.036584822810583777e-04, -9.222109344043439606e-05, -3.069621641650891949e-03
1578862329845524349, 2.779144560354720843e-03, -4.261165623380185931e-03, -4.718136077523613775e-03, -1.790347328236814306e-01, 9.799687523807001366e-01, 2.997132477875153519e-03, 8.717124524220810911e-02, 7.398255818394273639e-03, -1.528977292853533898e-02, -1.386206769811356571e-02, -1.204264909720039562e-03, -2.207646212055829667e-03, -8.280071535810946623e-05, -6.036663383656155728e-04, -9.223396985810233979e-05, -3.069607455022713757e-03
1578862329877257099, 2.131298747098997470e-03, -2.692876680080225071e-03, -6.034769818994770163e-03, -1.810351049136112445e-01, 9.797941754862715680e-01, 5.871905874866564790e-03, 8.482443747819320978e-02, 7.388232533565184008e-03, -1.573364704529705421e-02, -1.420611167210250776e-02, -1.204264909720039562e-03, -2.207646212055829667e-03, -8.280071535810946623e-05, -6.036663383656155728e-04, -9.223396985810233979e-05, -3.069607455022713757e-03
