# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1578862349.57582 0.009576 0.009218 -0.005075 -0.729279 0.677964 0.056102 0.073277 0.0000230531 0.0000048303 0.0000043958 0.0000111388 0.0000009838 0.0000113608 0.0003875749 0.0000020551 0.0000028557 0.0001369197 0.0000064091 0.0000058051
1578862349.67573 0.020466 0.011033 -0.006682 -0.728024 0.679536 0.056552 0.070810 0.0000216739 0.0000043514 0.0000043790 0.0000102705 0.0000009147 0.0000118176 0.0000352636 0.0000359943 0.0000066952 0.0000473908 0.0000100719 0.0000068352
1578862349.74106 0.023550 0.012661 -0.007494 -0.726917 0.680827 0.056697 0.069651 0.0000217856 0.0000042836 0.0000044618 0.0000102726 0.0000009001 0.0000121657 0.0000343210 0.0000402671 0.0000068954 0.0000645760 0.0000135951 0.0000088586
1578862349.83999 0.028144 0.014882 -0.008509 -0.724979 0.682959 0.057168 0.068584 0.0000219835 0.0000041765 0.0000045765 0.0000102803 0.0000008704 0.0000127286 0.0000312108 0.0000438742 0.0000064050 0.0000985150 0.0000204465 0.0000127857
1578862349.90719 0.031146 0.016109 -0.009041 -0.723650 0.684336 0.057804 0.068360 0.0000221392 0.0000041038 0.0000046461 0.0000102923 0.0000008447 0.0000131366 0.0000288345 0.0000435150 0.0000053929 0.0001283232 0.0000263863 0.0000161946
1578862349.97252 0.033936 0.016960 -0.009466 -0.722390 0.685573 0.058702 0.068532 0.0000223070 0.0000040346 0.0000047076 0.0000103102 0.0000008160 0.0000135526 0.0000272840 0.0000402364 0.0000037370 0.0001634883 0.0000333147 0.0000201908
1578862350.03785 0.036557 0.017372 -0.009812 -0.721261 0.686605 0.059929 0.069030 0.0000224892 0.0000039690 0.0000047644 0.0000103359 0.0000007846 0.0000139876 0.0000275155 0.0000333761 0.0000012842 0.0002056243 0.0000415237 0.0000249597
1578862350.13710 0.041166 0.006407 -0.012166 -0.719688 0.687905 0.062328 0.070366 0.0000225476 0.0000038140 0.0000048676 0.0000103368 0.0000007498 0.0000146780 0.0000225525 0.0000059470 -0.0000041750 0.0000197907 0.0000143401 0.0000269114
1578862350.23731 0.045532 0.007339 -0.014269 -0.718061 0.689184 0.063911 0.072995 0.0000227816 0.0000037139 0.0000049386 0.0000103895 0.0000007049 0.0000154230 0.0000225062 0.0000039648 -0.0000055712 0.0000225718 0.0000211258 0.0000358125
1578862350.30264 0.048713 0.005359 -0.015327 -0.716964 0.690021 0.064693 0.075156 0.0000230081 0.0000036652 0.0000049939 0.0000104405 0.0000006891 0.0000159594 0.0000252114 0.0000034328 -0.0000071671 0.0000270484 0.0000260668 0.0000433880
1578862350.36984 0.051945 0.003038 -0.016606 -0.715792 0.690917 0.065167 0.077644 0.0000232491 0.0000036146 0.0000050529 0.0000104959 0.0000006753 0.0000165268 0.0000285959 0.0000028810 -0.0000090244 0.0000325251 0.0000318979 0.0000522702
1578862350.46280 0.066789 0.022367 0.001088 -0.711910 0.694503 0.065705 0.080823 0.0000209476 0.0000033360 0.0000042096 0.0000103408 0.0000008486 0.0000147597 0.0000146357 0.0000032109 0.0000000245 0.0000039389 0.0000029634 0.0000087653
1578862350.55824 0.071206 0.019850 -0.000063 -0.709372 0.696538 0.065431 0.085707 0.0000208910 0.0000031318 0.0000040937 0.0000102382 0.0000009853 0.0000149518 0.0000143749 0.0000033798 0.0000008215 0.0000035756 0.0000019438 0.0000066836
1578862350.62375 0.072694 0.019071 0.000580 -0.708422 0.697268 0.065567 0.087506 0.0000208451 0.0000030782 0.0000040397 0.0000102080 0.0000010857 0.0000151065 0.0000145806 0.0000035531 0.0000008975 0.0000036765 0.0000018751 0.0000065685
1578862350.72504 0.073553 0.017923 0.001770 -0.707220 0.698215 0.066199 0.089181 0.0000206691 0.0000030522 0.0000040908 0.0000101605 0.0000011982 0.0000155205 0.0000150730 0.0000037711 0.0000009905 0.0000039080 0.0000019511 0.0000068022
1578862350.79253 0.073351 0.017536 0.002974 -0.706509 0.698820 0.066985 0.089493 0.0000203201 0.0000030813 0.0000041684 0.0000100841 0.0000012617 0.0000157721 0.0000150068 0.0000038556 0.0000012119 0.0000039691 0.0000019624 0.0000067546
1578862350.86116 0.073186 0.017346 0.003777 -0.705684 0.699618 0.067722 0.089207 0.0000199496 0.0000031096 0.0000042860 0.0000099989 0.0000013000 0.0000160213 0.0000147679 0.0000038584 0.0000014674 0.0000039774 0.0000019578 0.0000066249
1578862350.92760 0.073132 0.017569 0.004070 -0.704849 0.700522 0.068209 0.088337 0.0000195798 0.0000031474 0.0000044054 0.0000098998 0.0000013266 0.0000162202 0.0000144265 0.0000037985 0.0000016994 0.0000039329 0.0000019233 0.0000064360
1578862351.02729 0.072625 0.018148 0.003473 -0.703897 0.701690 0.068700 0.086258 0.0000191268 0.0000032044 0.0000045752 0.0000097600 0.0000013554 0.0000165425 0.0000140816 0.0000036904 0.0000019249 0.0000039054 0.0000018922 0.0000062669
1578862351.12598 0.071263 0.019227 0.002103 -0.703547 0.702375 0.068795 0.083422 0.0000187352 0.0000032569 0.0000047021 0.0000096116 0.0000013790 0.0000167412 0.0000137099 0.0000035769 0.0000020581 0.0000038273 0.0000018227 0.0000060097
1578862351.19063 0.069965 0.019929 0.000792 -0.703568 0.702626 0.068333 0.081477 0.0000184838 0.0000032843 0.0000047252 0.0000095013 0.0000013914 0.0000166421 0.0000133282 0.0000034732 0.0000020754 0.0000037001 0.0000017225 0.0000057209
1578862351.28756 0.067016 0.021013 -0.000213 -0.703458 0.703110 0.067241 0.079137 0.0000182716 0.0000033280 0.0000047892 0.0000094354 0.0000014428 0.0000166469 0.0000131530 0.0000033377 0.0000019545 0.0000036533 0.0000016436 0.0000055313
1578862351.35167 0.065285 0.021867 -0.000352 -0.703086 0.703718 0.066193 0.077911 0.0000181346 0.0000033483 0.0000047722 0.0000093725 0.0000014573 0.0000163601 0.0000127532 0.0000031743 0.0000018076 0.0000035400 0.0000015597 0.0000052902
1578862351.41793 0.064024 0.022673 -0.000389 -0.702484 0.704559 0.064892 0.076821 0.0000180240 0.0000033443 0.0000047422 0.0000093144 0.0000014586 0.0000160606 0.0000123781 0.0000030140 0.0000016715 0.0000034461 0.0000014657 0.0000050390
1578862351.48229 0.063198 0.023442 -0.000363 -0.701744 0.705523 0.063566 0.075841 0.0000179257 0.0000033222 0.0000047035 0.0000092602 0.0000014470 0.0000157508 0.0000120033 0.0000028620 0.0000015468 0.0000033638 0.0000013719 0.0000047896
1578862351.57903 0.062307 0.024639 -0.000569 -0.700495 0.707080 0.061874 0.074267 0.0000177904 0.0000032782 0.0000046989 0.0000092071 0.0000014264 0.0000155406 0.0000116707 0.0000026915 0.0000014315 0.0000033470 0.0000012572 0.0000045049
