#timestamp tx ty tz qx qy qz qw
1578862329.449798249 -0.390906962 -0.203886157 -0.050823717 0.536891196 0.732435645 -0.341525067 -0.242170391
1578862329.515130399 -0.390924695 -0.202846658 -0.046387253 0.537223643 0.731733959 -0.342017895 -0.242857837
1578862329.548729599 -0.390774319 -0.202571344 -0.045213861 0.537160395 0.731935107 -0.341644398 -0.242917299
1578862329.614061849 -0.390828943 -0.202010895 -0.042905294 0.538443318 0.729972513 -0.343176307 -0.243821544
1578862329.910856399 -0.390677003 -0.201581454 -0.040948270 0.535809226 0.729209100 -0.342751764 -0.252356475
1578862330.338315249 -0.390595841 -0.201044390 -0.038791513 0.533931941 0.728086921 -0.338111890 -0.265492877
1578862330.635109299 -0.388755228 -0.199331461 -0.032938848 0.533164525 0.726161911 -0.338077867 -0.272264254
1578862331.030835449 -0.389195449 -0.197274644 -0.029290630 0.529035740 0.724494069 -0.340353003 -0.281761181
1578862331.195098949 -0.389916406 -0.195717062 -0.027156830 0.528792261 0.722468062 -0.342736105 -0.284518201
1578862331.491893299 -0.389913235 -0.196443949 -0.026801206 0.532321706 0.714223469 -0.350550108 -0.289193809
1578862331.755088549 -0.395279990 -0.202149452 -0.033109207 0.532333536 0.710134430 -0.355875576 -0.292716027
1578862331.952951499 -0.396446788 -0.205042052 -0.035030835 0.530314976 0.708494928 -0.360339797 -0.294883356
1578862332.051883049 -0.399019663 -0.204593213 -0.036115570 0.529662519 0.707090347 -0.363618567 -0.295402091
1578862332.281478699 -0.407637693 -0.209474891 -0.037698294 0.527579158 0.704424220 -0.369452660 -0.298247350
1578862332.414009500 -0.411075417 -0.209352548 -0.035878574 0.527754846 0.701450589 -0.374835634 -0.298228335
1578862332.578273349 -0.411981776 -0.206815456 -0.032049933 0.528186781 0.697296430 -0.381722449 -0.298470072
1578862332.776136149 -0.428684477 -0.211773372 -0.034590294 0.529480205 0.693481074 -0.386072191 -0.299471162
1578862333.138262649 -0.437785046 -0.211517842 -0.032880295 0.531643750 0.691939821 -0.386808551 -0.298250486
1578862333.533988649 -0.445033060 -0.210667588 -0.030000816 0.534580485 0.693659531 -0.381559190 -0.295757916
1578862333.896115149 -0.452472598 -0.207691787 -0.029103184 0.536624380 0.695610753 -0.377676403 -0.292438865
1578862334.291841050 -0.453217451 -0.203370250 -0.025510486 0.536389031 0.699169107 -0.375034829 -0.287746839
1578862334.390772699 -0.453496791 -0.202070773 -0.023585819 0.536557668 0.699904748 -0.375016161 -0.285660798
1578862334.555036249 -0.451390149 -0.200150921 -0.019497796 0.537534769 0.700463110 -0.376182421 -0.280881808
1578862334.719299999 -0.448562853 -0.198431147 -0.016144954 0.538678769 0.701430980 -0.377140287 -0.274927205
1578862334.917163050 -0.450062883 -0.197629406 -0.016068593 0.539081193 0.704208691 -0.376167864 -0.268289631
1578862335.213957500 -0.471964220 -0.199206214 -0.024163087 0.536141833 0.710682508 -0.372491545 -0.262168564
1578862335.411820149 -0.466448204 -0.199941433 -0.020057804 0.534586480 0.714127563 -0.370467293 -0.258830260
1578862335.708614900 -0.465250787 -0.200399635 -0.016866999 0.535789804 0.716793852 -0.368493450 -0.251691155
1578862336.037142000 -0.478432503 -0.198950282 -0.021166535 0.537509813 0.718666666 -0.369566071 -0.240878275
1578862336.498199949 -0.471072511 -0.201283757 -0.011311899 0.533978430 0.726324666 -0.368980849 -0.226213726
1578862336.828593600 -0.463280950 -0.208843050 -0.003656466 0.533960513 0.727473089 -0.369303767 -0.221999556
1578862337.222453199 -0.452251237 -0.220011151 0.001037084 0.534676259 0.725964376 -0.369319818 -0.225166371
1578862337.618178949 -0.439090780 -0.230424756 0.004488062 0.536130792 0.720799724 -0.372088571 -0.233584304
1578862338.013904849 -0.422717442 -0.243671229 0.005180017 0.537684510 0.715796713 -0.371005850 -0.246749049
1578862338.079237050 -0.421066499 -0.245668246 0.005598608 0.537841377 0.715403022 -0.370009149 -0.249034936
1578862338.474963149 -0.414735116 -0.249175503 0.005607418 0.538299107 0.712880078 -0.366479215 -0.260248057
1578862338.771757549 -0.400834591 -0.259871516 0.008024329 0.542103805 0.706193283 -0.366473522 -0.270391698
1578862339.167483249 -0.388832288 -0.269819539 0.008090351 0.549041697 0.693209574 -0.367957609 -0.287438515
1578862339.561342499 -0.379617993 -0.276590793 0.007486913 0.553094050 0.680988302 -0.370424493 -0.305168149
1578862339.858137249 -0.377497812 -0.277019989 0.005014577 0.557586365 0.671564931 -0.371451462 -0.316420291
1578862340.253863199 -0.377582817 -0.274780236 0.003378281 0.563467221 0.663996938 -0.364810404 -0.329433038
1578862340.582390299 -0.378398096 -0.271530271 0.001035790 0.567831679 0.666824999 -0.351656261 -0.330529089
1578862340.978116399 -0.387836742 -0.272769975 -0.004388912 0.572461052 0.674788762 -0.336983007 -0.321544590
1578862341.110647149 -0.393614817 -0.274667689 -0.007305160 0.573472278 0.677315093 -0.333008812 -0.318557595
1578862341.538105950 -0.378231684 -0.272390055 -0.018532124 0.570345668 0.687207795 -0.326744223 -0.309337160
1578862341.834900400 -0.390212053 -0.267296140 -0.022835755 0.573754509 0.686035080 -0.334505530 -0.297098777
