#timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1578862329382599549, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.844326532865320223e-01, 9.783569613085313366e-01, 0.000000000000000000e+00, 9.382032115073397904e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1578862329449798249, 5.431734157200811334e-06, 2.567445237602736301e-05, 2.912674629133531456e-05, -1.842535599548477121e-01, 9.783649454158991343e-01, 6.264996074143953453e-04, 9.408648533956377735e-02, -3.454198619243053331e-04, -3.261353662532842320e-04, -3.836602446968407753e-04, -4.330911716619367991e-05, -3.814383284327081973e-05, -2.256678142503071123e-05, 1.624901033901007303e-07, 1.152521436037118222e-07, 1.149437758904383743e-07
1578862329515130399, 5.249783079381991106e-05, 1.681964900725991337e-04, -4.232446486039021156e-04, -1.845081645250921665e-01, 9.784008748318846482e-01, 2.070085540034654302e-03, 9.318894836643056012e-02, -1.266048199656569142e-03, 2.214158398453874421e-03, -8.282657418890190457e-03, 7.581519720425310875e-05, -1.012919728376639449e-04, 2.063709394210030013e-05, 2.177073028154629796e-05, 1.758960407880618296e-06, 9.816199906505645729e-05
1578862329548729599, 3.715086300076627323e-04, -4.561710553617300185e-04, -1.548720286869547822e-03, -1.838904506075785539e-01, 9.786119180268233464e-01, 2.351432357022266873e-03, 9.218181402572975247e-02, 7.245138785202128069e-03, -1.512481728831949201e-02, -2.966362190713937863e-02, 7.581963278304979534e-05, -1.012974331607943858e-04, 2.063570219460662442e-05, 2.169978729894265666e-05, 2.354846329814699706e-06, 9.741122819890574169e-05
1578862329614061849, 6.631006312661930904e-04, -8.444499857830007391e-04, -2.044668430989744247e-03, -1.835626363938737682e-01, 9.787502380854796735e-01, 3.122479207273354783e-03, 9.133991510477543208e-02, 3.448633191896302227e-03, -8.697637472571104894e-03, -1.200030439500811112e-02, 1.483879507829893277e-04, -1.916344821481092136e-04, 1.989477310765070897e-05, -6.568010990603505956e-05, -1.309844338701814829e-05, -3.649356763438955367e-04
1578862329679394100, 1.012102931430643518e-03, -2.899148457579274214e-03, -2.190668642592169361e-03, -1.809069757215459873e-01, 9.792194253654102898e-01, -5.985979982822602161e-04, 9.166037749625595421e-02, 4.450652636002212087e-03, -1.639862336080489050e-02, -1.216242118076449850e-02, 1.483850477595778509e-04, -1.916342096234096562e-04, 1.989372910407605796e-05, -6.574561955917665533e-05, -1.272679695030251698e-05, -3.647468725663374832e-04
1578862329712993149, 1.712441534863415587e-03, -2.259654157628617453e-03, -2.520631453716169843e-03, -1.816299873954233257e-01, 9.792229365092669502e-01, 1.501960125221263797e-03, 9.017057396229048727e-02, 2.831418736513633110e-03, -3.222917890081897999e-03, -2.027147218733053868e-02, -3.475723865876011089e-04, -3.883793823380282326e-03, -3.738956202627305653e-04, -2.266624457275344395e-03, -3.809962358006330706e-04, -1.230207637420253561e-02
1578862329778325549, 1.495358201201428148e-03, -2.001196943290136331e-03, -4.037787384912410252e-03, -1.815042583759788331e-01, 9.793793833865563903e-01, 2.069397354358249938e-03, 8.870143845138254990e-02, -6.577046937487721588e-03, 4.204924261055580439e-03, -2.733765007462720525e-02, -2.797350221687078730e-04, -4.082105821038631982e-03, -3.716164743684901954e-04, -2.304369657021505032e-03, -3.917972070929844606e-04, -1.251820386437730095e-02
1578862329845524349, 4.080174473025350440e-03, -2.995424710894118315e-03, -3.936627082073377443e-03, -1.797257102290194808e-01, 9.799371703784186538e-01, 2.918416674133031147e-03, 8.610048802143281665e-02, 1.000490206002490647e-02, -8.851172666818007961e-03, -2.092661574078680947e-02, 7.569845240671025819e-04, -7.001758229980836745e-03, -1.161431102591805589e-03, -3.826246118676072602e-03, -6.231659961972917192e-04, -2.090154138185922744e-02
1578862329877257099, 4.547238797739671518e-03, -3.747204783900363531e-03, -4.307760550148368589e-03, -1.789979878739170471e-01, 9.801837925274565766e-01, 3.109737598938078825e-03, 8.479258656065932764e-02, 1.436842340064900699e-02, -9.465022785246662851e-03, -1.503767774146924814e-02, -8.954219123683419867e-04, -7.820038484256379430e-03, -1.891906516826813607e-03, -1.021876714857900697e-04, 4.563913598907118785e-05, -3.651629685306481362e-04
1578862329910856399, 5.069698493066931121e-03, -4.070218397238045856e-03, -4.789031839007052219e-03, -1.784264997794520469e-01, 9.803552564681169423e-01, 3.721686623541719217e-03, 8.398633424826995597e-02, 1.539837900145897207e-02, -9.559612871149116703e-03, -1.470390602863775806e-02, -8.190900281050322645e-04, -7.799536954679888237e-03, -1.908673118769653888e-03, 3.469661488293847816e-05, 5.649874047462521287e-05, 3.532610260575118929e-04
1578862330009787849, 6.613731874451437773e-03, -5.141254131063016826e-03, -5.903100315986492715e-03, -1.765475680092893906e-01, 9.808443438862547437e-01, 5.877883149827473758e-03, 8.210225201555050589e-02, 1.578510735096874326e-02, -1.093346755594645087e-02, -1.168558260958014496e-02, -7.816015201291518118e-04, -7.570602872840957558e-03, -2.154951560666478524e-03, 1.553257600958260639e-04, 1.426721384415184136e-04, 1.444742819972219192e-03
1578862330075120149, 7.614453168882586928e-03, -5.888754214255721188e-03, -6.543002913916629894e-03, -1.754253167968535532e-01, 9.811359055986886846e-01, 7.468288755074020679e-03, 8.088583086570609593e-02, 1.566319958782202287e-02, -1.110631455058497946e-02, -9.750897665254158742e-03, -7.735247307405091616e-04, -7.552133793511586236e-03, -2.166178602645379720e-03, 1.646246625848302788e-04, 1.445245479652320958e-04, 1.517069779080828075e-03
