# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1578862339.56134 0.030083 0.005025 -0.023058 -0.655030 0.755106 0.017751 0.020859 0.0000296071 0.0000003078 0.0000116480 0.0000180993 0.0000014160 0.0000352000 0.0015330705 0.0002711506 0.0001504517 0.0009836322 0.0002942403 0.0009968146
1578862339.62854 0.031576 0.003859 -0.025871 -0.653243 0.756730 0.016873 0.018701 0.0000300596 0.0000002793 0.0000116532 0.0000186699 0.0000014399 0.0000361583 0.0020566463 0.0003316944 0.0001847293 0.0013139431 0.0003765370 0.0012626432
1578862339.69387 0.032619 0.002276 -0.028528 -0.651404 0.758376 0.016061 0.016764 0.0000305583 0.0000002554 0.0000116560 0.0000192800 0.0000014718 0.0000371560 0.0026900682 0.0003949511 0.0002201532 0.0017070488 0.0004692883 0.0015580393
1578862339.79281 0.033464 -0.000917 -0.032371 -0.648452 0.760978 0.014907 0.014153 0.0000314246 0.0000002275 0.0000116570 0.0000203077 0.0000015379 0.0000387898 0.0039308759 0.0004969565 0.0002762402 0.0024629266 0.0006359497 0.0020796512
1578862339.85814 0.033518 -0.003555 -0.034808 -0.646423 0.762744 0.014187 0.012561 0.0000320670 0.0000002141 0.0000116550 0.0000210546 0.0000015926 0.0000399532 0.0049715070 0.0005668551 0.0003137695 0.0030868957 0.0007649658 0.0024767722
1578862339.95707 0.032765 -0.008414 -0.038384 -0.643339 0.765398 0.013254 0.010294 0.0000331473 0.0000002021 0.0000116485 0.0000222882 0.0000016917 0.0000418428 0.0069507259 0.0006733288 0.0003691078 0.0042572777 0.0009921807 0.0031648228
1578862340.05600 0.030906 -0.014263 -0.041727 -0.640423 0.767873 0.012856 0.008002 0.0000343599 0.0000001960 0.0000116392 0.0000236423 0.0000017994 0.0000438861 0.0095078544 0.0007759846 0.0004195567 0.0057486615 0.0012618840 0.0039666035
1578862340.12133 0.029072 -0.018635 -0.043624 -0.638634 0.769369 0.013258 0.006488 0.0000352448 0.0000001909 0.0000116369 0.0000246001 0.0000018645 0.0000453105 0.0115686292 0.0008388125 0.0004482551 0.0069393205 0.0014657203 0.0045639966
1578862340.18853 0.026709 -0.023487 -0.045254 -0.636912 0.770787 0.014287 0.005102 0.0000362327 0.0000001870 0.0000116423 0.0000256381 0.0000019278 0.0000468297 0.0140409837 0.0008969564 0.0004723053 0.0083585484 0.0016986532 0.0052392379
1578862340.25386 0.023991 -0.028405 -0.046516 -0.635346 0.772055 0.015781 0.004131 0.0000372731 0.0000001898 0.0000116582 0.0000266999 0.0000019939 0.0000483538 0.0168266498 0.0009450219 0.0004888099 0.0099487598 0.0019494419 0.0059587449
