#timestamp tx ty tz qx qy qz qw
1578862329.515130399 -0.391596528 -0.202986507 -0.050215427 0.537315882 0.731857253 -0.341856550 -0.242509181
1578862329.548729599 -0.392781431 -0.202983763 -0.047828997 0.538097724 0.731327623 -0.341950812 -0.242240356
1578862329.614061849 -0.393009313 -0.203184647 -0.047228888 0.538585390 0.730466976 -0.342222496 -0.243367084
1578862329.679394100 -0.393388144 -0.203221619 -0.046046382 0.537197031 0.730841118 -0.342306494 -0.245187427
1578862330.009787849 -0.391242631 -0.202648589 -0.044081809 0.537356136 0.726964355 -0.342384502 -0.256015747
1578862330.371914450 -0.390804049 -0.201446687 -0.040497221 0.536941036 0.725582793 -0.338426371 -0.265878779
1578862330.700441749 -0.393207463 -0.202476951 -0.040701171 0.532930080 0.725838699 -0.337823406 -0.273896073
1578862330.799372899 -0.393899787 -0.202079272 -0.039550592 0.531439529 0.725841967 -0.338029713 -0.276516508
1578862331.030835449 -0.395621584 -0.199996572 -0.037818526 0.529995319 0.724187053 -0.339831647 -0.281376128
1578862331.195098949 -0.398551748 -0.200983451 -0.037092519 0.530363080 0.720693537 -0.343689362 -0.284944647
1578862331.590824999 -0.400283511 -0.192157684 -0.033686312 0.532947699 0.713232710 -0.351901857 -0.288844135
1578862331.755088549 -0.398926408 -0.182323508 -0.032177835 0.532809222 0.711081484 -0.354984749 -0.290625678
1578862331.820420749 -0.398695950 -0.178352284 -0.030314799 0.532210849 0.710466941 -0.356639708 -0.291198310
1578862331.952951499 -0.416762172 -0.178537782 -0.025494338 0.530210166 0.710028892 -0.359151590 -0.292824671
1578862332.051883049 -0.421615849 -0.178188264 -0.025872686 0.529286062 0.708965162 -0.362216727 -0.293297981
1578862332.281478699 -0.450827630 -0.179058717 -0.040848361 0.525482773 0.707154008 -0.371037421 -0.293483043
1578862332.512940949 -0.479961715 -0.171827621 -0.052682725 0.524325729 0.702972714 -0.380405895 -0.293603895
1578862332.776136149 -0.506683859 -0.167023123 -0.064381457 0.523676970 0.697087221 -0.391213107 -0.294591484
1578862333.138262649 -0.593170757 -0.148347980 -0.094754805 0.525005048 0.694379348 -0.395040317 -0.293513488
1578862333.533988649 -0.595973408 -0.159308523 -0.042780619 0.532128511 0.694866420 -0.388921403 -0.287645700
1578862333.896115149 -0.557799934 -0.190398365 -0.012183296 0.536235112 0.699048418 -0.375876115 -0.287228759
1578862334.291841050 -0.572306163 -0.181249769 -0.009730583 0.535880314 0.703442873 -0.372307999 -0.281757284
1578862335.115025949 -0.613750581 -0.157701310 0.001414476 0.535983305 0.711119105 -0.375686513 -0.256692733
1578862335.477152600 -0.623717498 -0.152055358 0.009760171 0.533155408 0.717367624 -0.372623086 -0.249561695
1578862336.037142000 -0.650854031 -0.145673963 0.033175348 0.535948025 0.721931981 -0.370824755 -0.232514366
1578862336.498199949 -0.635379315 -0.161793739 0.056346865 0.534128382 0.727172070 -0.370714931 -0.220222824
1578862336.828593600 -0.615294926 -0.181877900 0.076055747 0.534248825 0.728039040 -0.371057211 -0.216457606
1578862337.519247400 -0.550221061 -0.244744450 0.111358807 0.536086906 0.721594152 -0.374506207 -0.227283545
1578862337.849641199 -0.506819561 -0.288862478 0.127342234 0.535595470 0.716687657 -0.376431749 -0.240406810
1578862338.573894699 -0.409381670 -0.371168663 0.123809511 0.536693853 0.710046613 -0.370558374 -0.265480708
1578862339.167483249 -0.360941214 -0.403202037 0.109457388 0.546804472 0.691594552 -0.373229324 -0.288793554
1578862339.561342499 -0.346600604 -0.409429754 0.101388450 0.551738727 0.679243327 -0.374932610 -0.306003949
1578862340.121332150 -0.335380770 -0.403194998 0.099264312 0.560920896 0.663458129 -0.373053101 -0.325610878
1578862340.517058349 -0.334067190 -0.398014502 0.099804287 0.564993921 0.662906325 -0.361264853 -0.332903558
1578862340.912784199 -0.334951160 -0.383277675 0.090084329 0.569979201 0.670913082 -0.346893241 -0.323518819
1578862341.373842100 -0.356021042 -0.344507029 0.043062326 0.570768205 0.681493914 -0.337447981 -0.309707219
1578862341.933831549 -0.406867974 -0.333774756 0.024151599 0.576313318 0.681909116 -0.346986807 -0.287163842
1578862342.691684199 -0.483755664 -0.314922010 0.023020381 0.571249958 0.692255198 -0.359035267 -0.256027152
1578862343.053810599 -0.538846650 -0.300016532 0.023075714 0.562705810 0.696954617 -0.368673844 -0.248386854
1578862343.613800150 -0.613923524 -0.251189143 0.021654282 0.560201231 0.698157815 -0.363542847 -0.258044270
1578862344.173790000 -0.696570385 -0.177922868 0.014077308 0.560526695 0.698903081 -0.342671522 -0.282702203
1578862344.799111549 -0.777495317 -0.086965647 0.017399137 0.559027790 0.691109427 -0.343942215 -0.302587910
1578862345.655895349 -0.850467847 0.029438074 0.021517340 0.560054653 0.690071860 -0.351290586 -0.294507280
1578862345.853758700 -0.867241296 0.051819585 0.017266717 0.560933861 0.688899130 -0.352642585 -0.293963262
1578862346.710542449 -0.925844108 0.127363245 0.008515698 0.540534631 0.715928549 -0.327702730 -0.296444844
1578862347.401196249 -0.888919791 0.078987649 0.027792255 0.544355788 0.717184480 -0.343047180 -0.267659914
1578862348.028384650 -0.915015807 0.082696604 0.043394227 0.556311129 0.711603806 -0.357814376 -0.236868789
